date,time,windcode,term,voltype,bidvol,askvol,midvol
2024-10-08,16:00:00,USDCNY.IB,180D,ATM,5.219,5.219,5.219
2024-10-08,16:00:00,USDCNY.IB,30D,ATM,6.6,7.2,6.9
2024-10-08,16:00:00,USDCNY.IB,360D,ATM,5.125,5.125,5.125
2024-10-08,16:00:00,USDCNY.IB,540D,ATM,4.5,5.5,5.0
2024-10-08,16:00:00,USDCNY.IB,720D,ATM,5.03,5.63,5.33
2024-10-08,16:00:00,USDCNY.IB,7D,ATM,5.3,5.9,5.6
2024-10-08,16:00:00,USDCNY.IB,90D,ATM,5.5,6.5,6.0
2024-10-09,16:00:00,USDCNY.IB,180D,ATM,5.25,5.25,5.25
2024-10-09,16:00:00,USDCNY.IB,30D,ATM,6.7,7.3,7.0
2024-10-09,16:00:00,USDCNY.IB,360D,ATM,5.114,5.114,5.114
2024-10-09,16:00:00,USDCNY.IB,540D,ATM,4.5,5.5,5.0
2024-10-09,16:00:00,USDCNY.IB,720D,ATM,5.03,5.63,5.33
2024-10-09,16:00:00,USDCNY.IB,7D,ATM,5.0,6.0,5.488
2024-10-09,16:00:00,USDCNY.IB,90D,ATM,5.7,6.0,5.828
2024-10-10,16:00:00,USDCNY.IB,180D,ATM,5.283,5.283,5.283
2024-10-10,16:00:00,USDCNY.IB,30D,ATM,6.5,7.0,6.75
2024-10-10,16:00:00,USDCNY.IB,360D,ATM,5.124,5.124,5.124
2024-10-10,16:00:00,USDCNY.IB,540D,ATM,4.5,5.5,5.0
2024-10-10,16:00:00,USDCNY.IB,720D,ATM,5.03,5.63,5.33
2024-10-10,16:00:00,USDCNY.IB,7D,ATM,5.3,5.5,5.4
2024-10-10,16:00:00,USDCNY.IB,90D,ATM,5.75,5.95,5.875
2024-10-11,16:00:00,USDCNY.IB,180D,ATM,5.37,5.37,5.37
2024-10-11,16:00:00,USDCNY.IB,30D,ATM,6.5,6.95,6.725
2024-10-11,16:00:00,USDCNY.IB,360D,ATM,5.172,5.172,5.172
2024-10-11,16:00:00,USDCNY.IB,540D,ATM,4.5,5.6,5.05
2024-10-11,16:00:00,USDCNY.IB,720D,ATM,5.08,5.67,5.375
2024-10-11,16:00:00,USDCNY.IB,7D,ATM,4.8,5.2,5.001
2024-10-11,16:00:00,USDCNY.IB,90D,ATM,5.85,5.95,5.889
2024-10-14,16:00:00,USDCNY.IB,180D,ATM,5.369,5.369,5.369
2024-10-14,16:00:00,USDCNY.IB,30D,ATM,6.75,6.95,6.821
