term,voltype,bidvol,askvol,midvol,date,windcode,time
1080D,ATM,3.6,4.1,3.85,2025-12-19,USDCNY.IB,16:00:00
1080D,25D Put,3.67,4.145,3.9075,2025-12-19,USDCNY.IB,16:00:00
1080D,10D RR,-0.1,1.2,0.55,2025-12-19,USDCNY.IB,16:00:00
1080D,25D BF,0.17,0.47,0.32,2025-12-19,USDCNY.IB,16:00:00
1080D,10D Put,4.25,4.58,4.415,2025-12-19,USDCNY.IB,16:00:00
1080D,10D Call,4.15,5.78,4.965,2025-12-19,USDCNY.IB,16:00:00
1080D,25D Call,3.87,4.995,4.4325,2025-12-19,USDCNY.IB,16:00:00
1080D,10D BF,0.6,1.08,0.84,2025-12-19,USDCNY.IB,16:00:00
1080D,25D RR,0.2,0.85,0.525,2025-12-19,USDCNY.IB,16:00:00
14D,25D Put,1.85,2.275,2.075,2025-12-19,USDCNY.IB,16:00:00
14D,10D RR,-1.6,-0.6,-1.1,2025-12-19,USDCNY.IB,16:00:00
14D,25D BF,0.1,0.2,0.15,2025-12-19,USDCNY.IB,16:00:00
14D,10D Call,0.95,2.1,1.525,2025-12-19,USDCNY.IB,16:00:00
14D,25D Call,1.45,1.925,1.675,2025-12-19,USDCNY.IB,16:00:00
14D,10D BF,0.2,0.5,0.35,2025-12-19,USDCNY.IB,16:00:00
14D,ATM,1.55,1.9,1.725,2025-12-19,USDCNY.IB,16:00:00
14D,10D Put,2.55,2.7,2.625,2025-12-19,USDCNY.IB,16:00:00
14D,25D RR,-0.4,-0.35,-0.4,2025-12-19,USDCNY.IB,16:00:00
180D,ATM,2.925,2.925,2.925,2025-12-19,USDCNY.IB,16:00:00
180D,10D Put,3.79,3.79,3.79,2025-12-19,USDCNY.IB,16:00:00
180D,25D BF,0.255,0.255,0.255,2025-12-19,USDCNY.IB,16:00:00
180D,10D BF,0.6025,0.6025,0.6025,2025-12-19,USDCNY.IB,16:00:00
180D,10D Call,3.265,3.265,3.265,2025-12-19,USDCNY.IB,16:00:00
180D,25D RR,-0.5201,-0.5201,-0.5201,2025-12-19,USDCNY.IB,16:00:00
180D,25D Call,2.9199,2.9199,2.9199,2025-12-19,USDCNY.IB,16:00:00
180D,25D Put,3.4401,3.4401,3.4401,2025-12-19,USDCNY.IB,16:00:00
180D,10D RR,-0.525,-0.525,-0.525,2025-12-19,USDCNY.IB,16:00:00
1D,10D Call,2.8,2.8,2.8,2025-12-19,USDCNY.IB,16:00:00
