date,time,windcode,term,voltype,bidvol,askvol,midvol
2025-12-19,16:00:00,USDCNY.IB,14D,ATM,1.55,1.9,1.725
2025-12-19,16:00:00,USDCNY.IB,180D,ATM,2.925,2.925,2.925
2025-12-19,16:00:00,USDCNY.IB,21D,ATM,1.45,2.0,1.725
2025-12-19,16:00:00,USDCNY.IB,270D,ATM,3.0,3.3,3.225
2025-12-19,16:00:00,USDCNY.IB,30D,ATM,1.5,2.0,1.75
2025-12-19,16:00:00,USDCNY.IB,360D,ATM,3.2,3.5,3.35
2025-12-19,16:00:00,USDCNY.IB,540D,ATM,3.3,3.7,3.5
2025-12-19,16:00:00,USDCNY.IB,60D,ATM,1.85,2.25,2.05
2025-12-19,16:00:00,USDCNY.IB,720D,ATM,3.45,3.9,3.675
2025-12-19,16:00:00,USDCNY.IB,7D,ATM,1.45,2.0,1.725
2025-12-19,16:00:00,USDCNY.IB,90D,ATM,2.4,2.4,2.4
