date,series,value,method,field
2020-01-02,USDCNY.IB:close,6.9631,wsd,close
2020-01-03,USDCNY.IB:close,6.9716,wsd,close
2020-01-06,USDCNY.IB:close,6.9745,wsd,close
2020-01-07,USDCNY.IB:close,6.9376,wsd,close
2020-01-08,USDCNY.IB:close,6.942,wsd,close
2020-01-09,USDCNY.IB:close,6.9311,wsd,close
2020-01-10,USDCNY.IB:close,6.929,wsd,close
2020-01-13,USDCNY.IB:close,6.8942,wsd,close
2020-01-14,USDCNY.IB:close,6.8854,wsd,close
2020-01-15,USDCNY.IB:close,6.8871,wsd,close
2020-01-16,USDCNY.IB:close,6.885,wsd,close
2020-01-17,USDCNY.IB:close,6.8585,wsd,close
2020-01-20,USDCNY.IB:close,6.8613,wsd,close
2020-01-21,USDCNY.IB:close,6.9065,wsd,close
2020-01-22,USDCNY.IB:close,6.9012,wsd,close
2020-01-23,USDCNY.IB:close,6.93,wsd,close
2020-02-03,USDCNY.IB:close,7.0257,wsd,close
2020-02-04,USDCNY.IB:close,6.99,wsd,close
2020-02-05,USDCNY.IB:close,6.9997,wsd,close
2020-02-06,USDCNY.IB:close,6.9696,wsd,close
2020-02-07,USDCNY.IB:close,6.986,wsd,close
2020-02-10,USDCNY.IB:close,6.9853,wsd,close
2020-02-11,USDCNY.IB:close,6.9775,wsd,close
2020-02-12,USDCNY.IB:close,6.973,wsd,close
2020-02-13,USDCNY.IB:close,6.9805,wsd,close
2020-02-14,USDCNY.IB:close,6.9795,wsd,close
2020-02-17,USDCNY.IB:close,6.9807,wsd,close
2020-02-18,USDCNY.IB:close,7.0052,wsd,close
2020-02-19,USDCNY.IB:close,6.9941,wsd,close
2020-02-20,USDCNY.IB:close,7.0153,wsd,close
2020-02-21,USDCNY.IB:close,7.0386,wsd,close
2020-02-24,USDCNY.IB:close,7.0315,wsd,close
2020-02-25,USDCNY.IB:close,7.0162,wsd,close
2020-02-26,USDCNY.IB:close,7.017,wsd,close
2020-02-27,USDCNY.IB:close,7.0161,wsd,close
2020-02-28,USDCNY.IB:close,6.9896,wsd,close
2020-03-02,USDCNY.IB:close,6.9578,wsd,close
2020-03-03,USDCNY.IB:close,6.9808,wsd,close
2020-03-04,USDCNY.IB:close,6.9331,wsd,close
2020-03-05,USDCNY.IB:close,6.9425,wsd,close
2020-03-06,USDCNY.IB:close,6.94,wsd,close
2020-03-09,USDCNY.IB:close,6.9499,wsd,close
2020-03-10,USDCNY.IB:close,6.9469,wsd,close
